index,pop_F,pop_M,pop_MF,hholds,fullname
0,37170,31969,69139,39924,ทข.คลองสาน
1,108231,96669,204900,86477,ทข.คลองสามวา
2,49037,44156,93193,77502,ทข.คลองเตย
3,51390,44940,96330,45864,ทข.คันนายาว
4,83503,71794,155297,126570,ทข.จตุจักร
5,78025,70265,148290,73778,ทข.จอมทอง
6,84968,85823,170791,77410,ทข.ดอนเมือง
7,62320,53188,115508,63821,ทข.ดินแดง
8,38859,45038,83897,31653,ทข.ดุสิต
9,55226,48391,103617,42898,ทข.ตลิ่งชัน
10,42256,36493,78749,34420,ทข.ทวีวัฒนา
11,65673,58027,123700,54595,ทข.ทุ่งครุ
12,54983,48394,103377,57707,ทข.ธนบุรี
13,54691,49100,103791,50652,ทข.บางกอกน้อย
14,33874,29987,63861,32258,ทข.บางกอกใหญ่
15,78900,65832,144732,107103,ทข.บางกะปิ
16,98400,87744,186144,91013,ทข.บางขุนเทียน
17,43649,39084,82733,39812,ทข.บางคอแหลม
18,65471,56939,122410,76116,ทข.บางซื่อ
19,47555,40980,88535,72092,ทข.บางนา
20,54469,49897,104366,50825,ทข.บางบอน
21,48708,40709,89417,55838,ทข.บางพลัด
22,24230,21527,45757,32371,ทข.บางรัก
23,99379,87998,187377,114661,ทข.บางเขน
24,103527,89776,193303,94020,ทข.บางแค
25,76618,64199,140817,75943,ทข.บึงกุ่ม
26,23028,20310,43338,32590,ทข.ปทุมวัน
27,96478,85343,181821,92009,ทข.ประเวศ
28,21327,20197,41524,19627,ทข.ป้อมปราบศัตรูพ่าย
29,34272,33116,67388,44727,ทข.พญาไท
30,23248,21675,44923,19137,ทข.พระนคร
31,48243,39613,87856,60007,ทข.พระโขนง
32,66372,57946,124318,65843,ทข.ภาษีเจริญ
33,75097,67100,142197,61665,ทข.มีนบุรี
34,40920,35644,76564,53614,ทข.ยานนาวา
35,36127,33137,69264,52494,ทข.ราชเทวี
36,41200,37487,78687,37664,ทข.ราษฎร์บูรณะ
37,93840,85131,178971,98260,ทข.ลาดกระบัง
38,63876,53232,117108,57916,ทข.ลาดพร้าว
39,58405,49053,107458,62673,ทข.วังทองหลาง
40,43651,37972,81623,82407,ทข.วัฒนา
41,67110,56499,123609,81116,ทข.สวนหลวง
42,52034,44058,96092,41308,ทข.สะพานสูง
43,10957,10367,21324,13197,ทข.สัมพันธวงศ์
44,39907,35828,75735,43459,ทข.สาทร
45,110020,97252,207272,106139,ทข.สายไหม
46,91415,86564,177979,66754,ทข.หนองจอก
47,83319,72884,156203,62675,ทข.หนองแขม
48,53807,48897,102704,57833,ทข.หลักสี่
49,46519,37714,84233,85046,ทข.ห้วยขวาง
50,5549,4754,10303,5177,ทต.กกโก
51,2167,1952,4119,2016,ทต.กงไกรลาศ
52,2065,1772,3837,2193,ทต.กบินทร์
53,1869,1730,3599,1389,ทต.กม.5
54,5165,4651,9816,3618,ทต.กมลาไสย
55,1753,1728,3481,1272,ทต.กรอกสมบูรณ์
56,3763,3568,7331,1949,ทต.กระจัน
57,4104,3702,7806,3708,ทต.กระจับ
58,1183,1036,2219,851,ทต.กระดังงา
59,9251,8988,18239,8566,ทต.กระบี่น้อย
60,1787,1611,3398,1797,ทต.กระสัง
61,4467,4352,8819,2196,ทต.กระหวัน
62,949,861,1810,773,ทต.กระโสม
63,6719,6243,12962,3815,ทต.กรับใหญ่
64,2559,2462,5021,2665,ทต.กลางดง
65,2447,2391,4838,1831,ทต.กองดิน
66,4072,3661,7733,8500,ทต.กะรน
67,798,757,1555,666,ทต.กะเปอร์
68,3028,2699,5727,3380,ทต.กังแอน
69,4426,4585,9011,2236,ทต.กันทรอม
70,3145,2937,6082,3182,ทต.กันทรารมย์
71,4956,4583,9539,4674,ทต.กาญจนดิษฐ์
72,1329,1295,2624,1618,ทต.กำเนิดนพคุณ
73,1399,1306,2705,1327,ทต.กำแพง
74,2629,2380,5009,2834,ทต.กำแพง
75,1142,1052,2194,823,ทต.กำแพงดิน
76,2540,2373,4913,2550,ทต.กำแพงเพชร
77,3600,3240,6840,4177,ทต.กำแพงแสน
78,2036,2100,4136,1454,ทต.กุดข้าวปุ้น
79,5300,4954,10254,3849,ทต.กุดจับ
80,1394,1253,2647,1257,ทต.กุดจิก
81,5839,5903,11742,4337,ทต.กุดชมภู
82,2476,2370,4846,2162,ทต.กุดชุมพัฒนา
83,2866,2775,5641,1812,ทต.กุดดินจี่
84,1381,1386,2767,739,ทต.กุดดู่
85,3028,2859,5887,2566,ทต.กุดนกเปล้า
86,4316,4167,8483,2551,ทต.กุดน้ำใส
87,2643,2480,5123,1845,ทต.กุดบาก
88,6714,6908,13622,5015,ทต.กุดประทาย
89,5283,4991,10274,4467,ทต.กุดสิม
