,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
0,36403,31176,67579,40914,ทข.คลองสาน,1
1,109142,97295,206437,88145,ทข.คลองสามวา,1
2,48233,43403,91636,78678,ทข.คลองเตย,1
3,51032,44604,95636,46218,ทข.คันนายาว,1
4,83088,71058,154146,129790,ทข.จตุจักร,1
5,76858,68913,145771,73995,ทข.จอมทอง,1
6,84315,83606,167921,78493,ทข.ดอนเมือง,1
7,61060,51754,112814,63891,ทข.ดินแดง,1
8,37654,43840,81494,31693,ทข.ดุสิต,1
9,54663,47806,102469,43319,ทข.ตลิ่งชัน,1
10,42341,36457,78798,34905,ทข.ทวีวัฒนา,1
11,65644,57748,123392,55205,ทข.ทุ่งครุ,1
12,53887,47330,101217,61449,ทข.ธนบุรี,1
13,53694,47817,101511,51364,ทข.บางกอกน้อย,1
14,33367,29283,62650,32521,ทข.บางกอกใหญ่,1
15,77818,64756,142574,109419,ทข.บางกะปิ,1
16,97948,87046,184994,92129,ทข.บางขุนเทียน,1
17,42761,38217,80978,40393,ทข.บางคอแหลม,1
18,64797,55921,120718,76659,ทข.บางซื่อ,1
19,46674,40379,87053,72310,ทข.บางนา,1
20,53655,48980,102635,51099,ทข.บางบอน,1
21,48139,40151,88290,57812,ทข.บางพลัด,1
22,23843,21172,45015,32664,ทข.บางรัก,1
23,98814,87386,186200,115522,ทข.บางเขน,1
24,103209,89222,192431,94679,ทข.บางแค,1
25,75922,63412,139334,76268,ทข.บึงกุ่ม,1
26,22167,19596,41763,32328,ทข.ปทุมวัน,1
27,96421,85211,181632,93842,ทข.ประเวศ,1
28,20746,19672,40418,19609,ทข.ป้อมปราบศัตรูพ่าย,1
29,33764,32448,66212,44826,ทข.พญาไท,1
30,22309,20753,43062,19140,ทข.พระนคร,1
31,47875,39143,87018,61515,ทข.พระโขนง,1
32,65728,57096,122824,65974,ทข.ภาษีเจริญ,1
33,74742,66632,141374,63274,ทข.มีนบุรี,1
34,40249,34827,75076,53663,ทข.ยานนาวา,1
35,35475,32260,67735,54612,ทข.ราชเทวี,1
36,40657,36852,77509,38059,ทข.ราษฎร์บูรณะ,1
37,93803,84621,178424,100871,ทข.ลาดกระบัง,1
38,63129,52473,115602,58086,ทข.ลาดพร้าว,1
39,57597,48304,105901,63328,ทข.วังทองหลาง,1
40,43627,37755,81382,82927,ทข.วัฒนา,1
41,66792,56032,122824,82161,ทข.สวนหลวง,1
42,51950,43972,95922,41892,ทข.สะพานสูง,1
43,10712,10065,20777,13177,ทข.สัมพันธวงศ์,1
44,39057,34930,73987,43840,ทข.สาทร,1
45,109896,96935,206831,106948,ทข.สายไหม,1
46,91871,86985,178856,68505,ทข.หนองจอก,1
47,83013,72347,155360,63568,ทข.หนองแขม,1
48,53129,47405,100534,58706,ทข.หลักสี่,1
49,46032,37246,83278,86846,ทข.ห้วยขวาง,1
50,5618,4756,10374,5351,ทต.กกโก,1
51,2153,1923,4076,2053,ทต.กงไกรลาศ,1
52,2015,1718,3733,2200,ทต.กบินทร์,1
53,1885,1742,3627,1407,ทต.กม.5,1
54,5149,4626,9775,3664,ทต.กมลาไสย,1
55,1765,1734,3499,1287,ทต.กรอกสมบูรณ์,1
56,3761,3583,7344,1983,ทต.กระจัน,1
57,4095,3680,7775,3781,ทต.กระจับ,1
58,1156,1009,2165,862,ทต.กระดังงา,1
59,9330,9061,18391,8762,ทต.กระบี่น้อย,1
60,1795,1599,3394,1814,ทต.กระสัง,1
