Index,Latitude,Longitude,DeflectVEW,DeflectVNS
0,0.0,90.0,9.4,4.2
1,0.0,91.0,9.0,1.3
2,0.0,92.0,11.0,1.3
3,0.0,93.0,12.6,0.9
4,0.0,94.0,10.0,-0.6
5,0.0,95.0,8.1,-2.0
6,0.0,96.0,1.4,-4.4
7,0.0,97.0,17.6,6.4
8,0.0,98.0,11.9,0.2
9,0.0,99.0,9.8,0.2
10,0.0,100.0,9.5,0.3
11,0.0,101.0,5.9,-3.6
12,0.0,102.0,8.5,-1.1
13,0.0,103.0,7.1,-3.2
14,0.0,104.0,7.3,-2.1
15,0.0,105.0,5.4,-2.8
16,0.0,106.0,7.4,-2.0
17,0.0,107.0,6.5,-2.1
18,0.0,108.0,8.1,-1.2
19,0.0,109.0,6.7,-2.6
20,0.0,110.0,5.7,-0.8
21,0.0,111.0,6.4,-0.9
22,0.0,112.0,7.8,-0.0
23,0.0,113.0,7.7,-0.5
24,0.0,114.0,4.2,1.0
25,1.0,90.0,6.5,0.2
26,1.0,91.0,9.0,1.4
27,1.0,92.0,10.7,1.7
28,1.0,93.0,11.0,-1.6
29,1.0,94.0,8.7,-5.5
30,1.0,95.0,5.7,-6.3
31,1.0,96.0,12.1,-0.1
32,1.0,97.0,11.4,-2.2
33,1.0,98.0,12.0,-3.5
34,1.0,99.0,9.9,2.3
35,1.0,100.0,5.6,-2.6
36,1.0,101.0,8.4,-1.2
37,1.0,102.0,6.4,-2.8
38,1.0,103.0,8.2,-1.3
39,1.0,104.0,6.6,-2.4
40,1.0,105.0,6.2,-2.1
41,1.0,106.0,7.3,-2.5
42,1.0,107.0,7.3,-2.2
43,1.0,108.0,6.7,-3.7
44,1.0,109.0,8.5,-3.3
45,1.0,110.0,5.7,-4.6
46,1.0,111.0,7.3,-3.3
47,1.0,112.0,7.3,-3.3
48,1.0,113.0,9.2,-3.2
49,1.0,114.0,4.7,-4.2
50,2.0,90.0,7.6,0.8
51,2.0,91.0,9.3,2.6
52,2.0,92.0,7.4,0.6
53,2.0,93.0,7.1,-2.7
54,2.0,94.0,7.9,-2.0
55,2.0,95.0,12.0,3.9
56,2.0,96.0,10.0,0.8
57,2.0,97.0,10.2,-3.4
58,2.0,98.0,17.8,3.3
59,2.0,99.0,5.0,-3.4
60,2.0,100.0,7.0,-2.6
61,2.0,101.0,6.8,-2.3
62,2.0,102.0,8.0,-1.1
63,2.0,103.0,7.1,-2.9
64,2.0,104.0,6.9,-3.4
65,2.0,105.0,5.8,-3.6
66,2.0,106.0,7.6,-3.5
67,2.0,107.0,5.9,-3.4
68,2.0,108.0,7.1,-2.7
69,2.0,109.0,7.2,-3.7
70,2.0,110.0,7.0,-4.2
71,2.0,111.0,7.3,-4.4
72,2.0,112.0,7.3,-5.0
73,2.0,113.0,8.2,-3.5
74,2.0,114.0,8.6,-3.0
75,3.0,90.0,9.5,0.0
76,3.0,91.0,7.3,0.5
77,3.0,92.0,4.0,-0.6
78,3.0,93.0,7.8,-3.2
79,3.0,94.0,13.9,-0.2
80,3.0,95.0,8.8,-10.8
81,3.0,96.0,5.8,-1.8
82,3.0,97.0,16.9,13.0
83,3.0,98.0,11.1,-2.2
84,3.0,99.0,5.7,-5.7
85,3.0,100.0,7.4,-2.6
86,3.0,101.0,7.9,-2.2
87,3.0,102.0,6.3,-2.0
88,3.0,103.0,6.5,-2.6
89,3.0,104.0,6.8,-4.4
90,3.0,105.0,5.9,-5.7
91,3.0,106.0,7.8,-5.3
92,3.0,107.0,6.6,-4.8
93,3.0,108.0,6.1,-3.5
94,3.0,109.0,6.7,-4.0
95,3.0,110.0,6.8,-4.2
96,3.0,111.0,6.7,-3.7
97,3.0,112.0,8.8,-3.7
98,3.0,113.0,8.7,-6.0
99,3.0,114.0,7.0,-5.3
100,4.0,90.0,10.0,-0.3
101,4.0,91.0,6.2,0.9
102,4.0,92.0,1.4,-1.9
103,4.0,93.0,10.8,0.5
104,4.0,94.0,3.3,-8.4
105,4.0,95.0,17.8,2.9
106,4.0,96.0,20.7,8.8
107,4.0,97.0,1.7,-7.2
108,4.0,98.0,7.6,-3.2
109,4.0,99.0,8.8,-2.6
110,4.0,100.0,7.8,-3.2
111,4.0,101.0,8.1,-2.7
112,4.0,102.0,5.7,-4.2
113,4.0,103.0,4.7,-3.7
114,4.0,104.0,5.4,-4.0
115,4.0,105.0,6.3,-5.0
116,4.0,106.0,8.3,-4.3
117,4.0,107.0,7.9,-5.5
118,4.0,108.0,5.6,-4.4
119,4.0,109.0,6.6,-4.4
120,4.0,110.0,7.3,-4.9
121,4.0,111.0,6.8,-4.6
122,4.0,112.0,6.5,-3.8
123,4.0,113.0,9.5,-3.7
124,4.0,114.0,8.2,-5.0
125,5.0,90.0,11.2,1.1
126,5.0,91.0,3.3,-0.3
127,5.0,92.0,3.9,-5.1
128,5.0,93.0,1.9,-6.3
129,5.0,94.0,14.7,-5.8
130,5.0,95.0,23.8,2.0
131,5.0,96.0,4.6,-10.6
132,5.0,97.0,5.7,-8.0
133,5.0,98.0,8.3,-2.1
134,5.0,99.0,8.2,-2.4
135,5.0,100.0,8.4,-3.4
136,5.0,101.0,6.6,-4.1
137,5.0,102.0,6.2,-5.5
138,5.0,103.0,4.5,-6.3
139,5.0,104.0,4.4,-6.7
140,5.0,105.0,7.1,-4.8
141,5.0,106.0,7.1,-3.3
142,5.0,107.0,9.1,-3.9
143,5.0,108.0,5.5,-4.7
144,5.0,109.0,6.1,-4.4
145,5.0,110.0,7.6,-3.0
146,5.0,111.0,7.6,-5.2
147,5.0,112.0,6.6,-5.3
148,5.0,113.0,8.2,-6.4
149,5.0,114.0,7.3,-8.4
