id,latitude,longitude,tgm2017,egm2008
1,3.1,95.1,-35.849,-32.73
2,3.1,95.1322,-35.69428,-34.39
3,3.1,95.1644,-35.54379,-35.75
4,3.1,95.1966,-35.38906,-33.05
5,3.1,95.2288,-35.23389,-34.61
6,3.1,95.261,-35.08875,-31.63
7,3.1,95.2932,-34.95965,-33.37
8,3.1,95.3254,-34.83313,-34.83
9,3.1,95.3576,-34.70366,-32.04
10,3.1,95.3898,-34.57006,-33.68
11,3.1,95.422,-34.42233,-30.58
12,3.1,95.4542,-34.25051,-32.34
13,3.1,95.4864,-34.04871,-33.8
14,3.1,95.5186,-33.81734,-30.79
15,3.1,95.5508,-33.56663,-32.38
16,3.1,95.5831,-33.30686,-33.64
17,3.1,95.6153,-33.05545,-30.81
18,3.1,95.6475,-32.81747,-32.32
19,3.1,95.6797,-32.60699,-29.21
20,3.1,95.7119,-32.42388,-30.95
21,3.1,95.7441,-32.26796,-32.4
22,3.1,95.7763,-32.12614,-29.53
23,3.1,95.8085,-31.99775,-31.21
24,3.1,95.8407,-31.8908,-28.09
25,3.1,95.8729,-31.8201,-30
26,3.1,95.9051,-31.78429,-31.63
27,3.1,95.9373,-31.77236,-28.77
28,3.1,95.9695,-31.77013,-30.63
29,3.1,96.0017,-31.76871,-27.5
30,3.1,96.0339,-31.76184,-29.51
31,3.1,96.0661,-31.75223,-31.24
32,3.1,96.0983,-31.73411,-28.26
33,3.1,96.1305,-31.70609,-30.17
34,3.1,96.1627,-31.66934,-31.75
35,3.1,96.1949,-31.63102,-28.95
36,3.1,96.2271,-31.57039,-30.71
37,3.1,96.2593,-31.48857,-27.57
38,3.1,96.2915,-31.38146,-29.47
39,3.1,96.3237,-31.24761,-31.04
40,3.1,96.3559,-31.0853,-28.01
41,3.1,96.3881,-30.89956,-29.73
42,3.1,96.4203,-30.69898,-26.34
43,3.1,96.4525,-30.49185,-28.21
44,3.1,96.4847,-30.28642,-29.78
45,3.1,96.5169,-30.09165,-26.55
46,3.1,96.5492,-29.91417,-28.34
47,3.1,96.5814,-29.75233,-29.8
48,3.1,96.6136,-29.605,-26.83
49,3.1,96.6458,-29.47475,-28.56
50,3.1,96.678,-29.36155,-25.28
51,3.1,96.7102,-29.25074,-27.22
52,3.1,96.7424,-29.13473,-28.83
53,3.1,96.7746,-29.00563,-25.78
54,3.1,96.8068,-28.86063,-27.59
55,3.1,96.839,-28.69761,-24.19
56,3.1,96.8712,-28.52628,-26.15
57,3.1,96.9034,-28.34412,-27.79
58,3.1,96.9356,-28.1489,-24.52
59,3.1,96.9678,-27.93491,-26.32
60,3.1,97,-27.689,-22.68
61,3.1322,95.1,-36.05462,-33.03
62,3.1322,95.1322,-35.90434,-33.81
63,3.1322,95.1644,-35.76289,-34.34
64,3.1322,95.1966,-35.61947,-33.02
65,3.1322,95.2288,-35.48128,-33.72
66,3.1322,95.261,-35.35437,-32.16
67,3.1322,95.2932,-35.24284,-33.02
68,3.1322,95.3254,-35.12805,-33.62
69,3.1322,95.3576,-35.00508,-32.22
70,3.1322,95.3898,-34.87095,-32.98
71,3.1322,95.422,-34.72269,-31.31
72,3.1322,95.4542,-34.5496,-32.16
73,3.1322,95.4864,-34.34725,-32.74
74,3.1322,95.5186,-34.118,-31.13
75,3.1322,95.5508,-33.86927,-31.82
76,3.1322,95.5831,-33.61126,-32.22
77,3.1322,95.6153,-33.36249,-30.78
78,3.1322,95.6475,-33.1311,-31.4
79,3.1322,95.6797,-32.92641,-29.72
80,3.1322,95.7119,-32.74871,-30.55
81,3.1322,95.7441,-32.59512,-31.12
82,3.1322,95.7763,-32.45803,-29.68
83,3.1322,95.8085,-32.33316,-30.45
84,3.1322,95.8407,-32.22561,-28.79
85,3.1322,95.8729,-32.14652,-29.76
86,3.1322,95.9051,-32.09474,-30.48
87,3.1322,95.9373,-32.06351,-29.05
88,3.1322,95.9695,-32.0389,-29.96
89,3.1322,96.0017,-32.01644,-28.29
90,3.1322,96.0339,-31.99083,-29.33
91,3.1322,96.0661,-31.95873,-30.12
92,3.1322,96.0983,-31.9238,-28.6
93,3.1322,96.1305,-31.88251,-29.55
94,3.1322,96.1627,-31.83372,-30.22
95,3.1322,96.1949,-31.77946,-28.86
96,3.1322,96.2271,-31.70951,-29.68
97,3.1322,96.2593,-31.6137,-28.02
98,3.1322,96.2915,-31.49363,-28.95
99,3.1322,96.3237,-31.34286,-29.58
100,3.1322,96.3559,-31.16484,-28
101,3.1322,96.3881,-30.96226,-28.76
102,3.1322,96.4203,-30.74672,-26.86
103,3.1322,96.4525,-30.52795,-27.74
104,3.1322,96.4847,-30.31123,-28.36
105,3.1322,96.5169,-30.10731,-26.62
106,3.1322,96.5492,-29.92226,-27.44
107,3.1322,96.5814,-29.7581,-27.97
108,3.1322,96.6136,-29.60933,-26.5
109,3.1322,96.6458,-29.47722,-27.27
110,3.1322,96.678,-29.3618,-25.55
111,3.1322,96.7102,-29.24835,-26.5
112,3.1322,96.7424,-29.1304,-27.17
113,3.1322,96.7746,-29.00014,-25.63
114,3.1322,96.8068,-28.85259,-26.47
115,3.1322,96.839,-28.68863,-24.63
116,3.1322,96.8712,-28.5122,-25.58
