latitude,longitude,geoid_height
4,96,-35.867
4,96.0141,-35.751
4,96.0282,-35.647
4,96.0424,-35.549
4,96.0565,-35.453
4,96.0706,-35.361
4,96.0847,-35.272
4,96.0988,-35.184
4,96.113,-35.095
4,96.1271,-35.009
4,96.1412,-34.918
4,96.1553,-34.827
4,96.1694,-34.736
4,96.1836,-34.642
4,96.1977,-34.549
4,96.2118,-34.453
4,96.2259,-34.358
4,96.2401,-34.267
4,96.2542,-34.175
4,96.2683,-34.084
4,96.2824,-33.992
4,96.2965,-33.903
4,96.3107,-33.814
4,96.3248,-33.723
4,96.3389,-33.63
4,96.353,-33.534
4,96.3671,-33.429
4,96.3813,-33.322
4,96.3954,-33.216
4,96.4095,-33.106
4,96.4236,-32.987
4,96.4377,-32.865
4,96.4519,-32.737
4,96.466,-32.606
4,96.4801,-32.474
4,96.4942,-32.341
4,96.5083,-32.207
4,96.5225,-32.072
4,96.5366,-31.936
4,96.5507,-31.803
4,96.5648,-31.673
4,96.5789,-31.547
4,96.5931,-31.429
4,96.6072,-31.323
4,96.6213,-31.225
4,96.6354,-31.135
4,96.6496,-31.055
4,96.6637,-30.985
4,96.6778,-30.923
4,96.6919,-30.874
4,96.706,-30.834
4,96.7202,-30.806
4,96.7343,-30.789
4,96.7484,-30.782
4,96.7625,-30.787
4,96.7766,-30.797
4,96.7908,-30.814
4,96.8049,-30.836
4,96.819,-30.861
4,96.8331,-30.89
4,96.8472,-30.919
4,96.8614,-30.947
4,96.8755,-30.974
4,96.8896,-31
4,96.9037,-31.024
4,96.9178,-31.043
4,96.932,-31.056
4,96.9461,-31.066
4,96.9602,-31.066
4,96.9743,-31.058
4,96.9884,-31.047
4.015,96,-35.953
4.015,96.0141,-35.839
4.015,96.0282,-35.735
4.015,96.0424,-35.639
4.015,96.0565,-35.544
4.015,96.0706,-35.453
4.015,96.0847,-35.365
4.015,96.0988,-35.277
4.015,96.113,-35.19
4.015,96.1271,-35.103
4.015,96.1412,-35.013
4.015,96.1553,-34.923
4.015,96.1694,-34.831
4.015,96.1836,-34.738
4.015,96.1977,-34.645
4.015,96.2118,-34.551
4.015,96.2259,-34.458
4.015,96.2401,-34.368
4.015,96.2542,-34.279
4.015,96.2683,-34.19
4.015,96.2824,-34.102
4.015,96.2965,-34.015
4.015,96.3107,-33.93
4.015,96.3248,-33.844
4.015,96.3389,-33.756
4.015,96.353,-33.664
4.015,96.3671,-33.566
4.015,96.3813,-33.466
4.015,96.3954,-33.363
4.015,96.4095,-33.254
4.015,96.4236,-33.14
4.015,96.4377,-33.018
4.015,96.4519,-32.892
4.015,96.466,-32.764
4.015,96.4801,-32.633
4.015,96.4942,-32.5
4.015,96.5083,-32.367
4.015,96.5225,-32.233
4.015,96.5366,-32.099
4.015,96.5507,-31.967
4.015,96.5648,-31.838
4.015,96.5789,-31.714
4.015,96.5931,-31.599
4.015,96.6072,-31.495
4.015,96.6213,-31.4
4.015,96.6354,-31.313
4.015,96.6496,-31.235
4.015,96.6637,-31.164
4.015,96.6778,-31.103
4.015,96.6919,-31.051
4.015,96.706,-31.009
4.015,96.7202,-30.978
4.015,96.7343,-30.959
4.015,96.7484,-30.95
4.015,96.7625,-30.952
4.015,96.7766,-30.96
4.015,96.7908,-30.974
4.015,96.8049,-30.992
4.015,96.819,-31.014
4.015,96.8331,-31.036
4.015,96.8472,-31.06
4.015,96.8614,-31.083
4.015,96.8755,-31.103
4.015,96.8896,-31.123
4.015,96.9037,-31.141
4.015,96.9178,-31.156
4.015,96.932,-31.166
4.015,96.9461,-31.17
4.015,96.9602,-31.168
4.015,96.9743,-31.161
4.015,96.9884,-31.153
4.03,96,-36.043
4.03,96.0141,-35.932
4.03,96.0282,-35.827
4.03,96.0424,-35.73
4.03,96.0565,-35.636
4.03,96.0706,-35.545
4.03,96.0847,-35.456
4.03,96.0988,-35.37
4.03,96.113,-35.284
4.03,96.1271,-35.198
4.03,96.1412,-35.111
4.03,96.1553,-35.023
4.03,96.1694,-34.932
4.03,96.1836,-34.839
4.03,96.1977,-34.747
4.03,96.2118,-34.656
4.03,96.2259,-34.566
4.03,96.2401,-34.478
4.03,96.2542,-34.392
4.03,96.2683,-34.308
4.03,96.2824,-34.224
4.03,96.2965,-34.142
4.03,96.3107,-34.06
4.03,96.3248,-33.979
4.03,96.3389,-33.896
4.03,96.353,-33.808
4.03,96.3671,-33.716
4.03,96.3813,-33.62
4.03,96.3954,-33.518
