Latitude,Longitude,GeoidHeight
0,90,-64.77
1,90,-62.52
2,90,-62.39
3,90,-61.98
4,90,-61.96
5,90,-62.12
6,90,-61.53
7,90,-61.97
8,90,-63.42
9,90,-63.71
10,90,-64.57
11,90,-65.58
12,90,-65.62
13,90,-66.02
14,90,-65.89
15,90,-65.5
16,90,-65.46
17,90,-64.65
18,90,-64.62
19,90,-64.37
20,90,-61.11
21,90,-57.98
22,90,-57.65
23,90,-57.12
24,90,-56.33
25,90,-55.29
0,91,-59.72
1,91,-59.01
2,91,-58.28
3,91,-56.86
4,91,-56.58
5,91,-56.08
6,91,-56.23
7,91,-57.73
8,91,-60.04
9,91,-62.58
10,91,-64.15
11,91,-64.76
12,91,-64.6
13,91,-63.72
14,91,-63.33
15,91,-62.64
16,91,-62.41
17,91,-62.11
18,91,-61.53
19,91,-61.51
20,91,-58.11
21,91,-57.12
22,91,-56.77
23,91,-55.57
24,91,-55.36
25,91,-54.09
0,92,-54.86
1,92,-54.18
2,92,-53.26
3,92,-52.92
4,92,-53.26
5,92,-54.28
6,92,-57.03
7,92,-59.16
8,92,-59.9
9,92,-60.94
10,92,-62.24
11,92,-63.02
12,92,-63.61
13,92,-63.66
14,92,-63.27
15,92,-61.78
16,92,-60.99
17,92,-60.97
18,92,-60.61
19,92,-60.88
20,92,-55.86
21,92,-55.32
22,92,-55.32
23,92,-54.69
24,92,-54.76
25,92,-53
0,93,-48.91
1,93,-48.42
2,93,-49.28
3,93,-50.76
4,93,-52.48
5,93,-52.2
6,93,-55.59
7,93,-60.67
8,93,-61.4
9,93,-61.92
10,93,-65.38
11,93,-65.6
12,93,-63.15
13,93,-62.18
14,93,-61.47
15,93,-63.5
16,93,-62.57
17,93,-61.5
18,93,-60.53
19,93,-58.45
20,93,-54.33
21,93,-53.23
22,93,-52.27
23,93,-52.31
24,93,-52.89
25,93,-50.9
0,94,-42.11
1,94,-42.46
2,94,-45.43
3,94,-46.53
4,94,-46.64
5,94,-51.19
6,94,-54.31
7,94,-51.64
8,94,-51.25
9,94,-53.73
10,94,-54.65
11,94,-55.26
12,94,-55.9
13,94,-58.39
14,94,-59.97
15,94,-57.42
16,94,-57.86
17,94,-59.23
18,94,-57.85
19,94,-55.81
20,94,-54.32
21,94,-51.85
22,94,-54.57
23,94,-56.05
24,94,-54.64
25,94,-51.99
0,95,-36.7
1,95,-37.76
2,95,-41.16
3,95,-39.05
4,95,-44.87
5,95,-43.29
6,95,-42.23
7,95,-43.97
8,95,-45.04
9,95,-46.34
10,95,-47.9
11,95,-50
12,95,-50.93
13,95,-51.65
14,95,-52.15
15,95,-51.96
16,95,-51.79
17,95,-52.89
18,95,-51.85
19,95,-52.57
20,95,-53.63
21,95,-52.06
22,95,-52.09
23,95,-54.53
24,95,-56.04
25,95,-54.97
0,96,-32.31
1,96,-34.67
2,96,-34.7
3,96,-34.29
4,96,-35.28
5,96,-30.51
6,96,-36.21
7,96,-37.17
8,96,-38.45
9,96,-41.38
10,96,-44.44
11,96,-46.47
12,96,-47.98
13,96,-48.53
14,96,-48.18
15,96,-48.85
16,96,-49.21
17,96,-49.66
18,96,-48.72
19,96,-48.47
20,96,-48.83
21,96,-48.87
22,96,-49.59
23,96,-49.57
24,96,-49.44
25,96,-49.82
0,97,-31.56
1,97,-28.12
2,97,-29.33
3,97,-31.18
4,97,-24.16
5,97,-28.04
6,97,-32.36
7,97,-33.19
8,97,-34.53
9,97,-36.28
10,97,-38.17
11,97,-40.09
12,97,-41.6
13,97,-42.95
14,97,-44.71
15,97,-45.6
16,97,-46.35
17,97,-46.26
18,97,-45.32
19,97,-44.3
20,97,-44.74
21,97,-44.2
22,97,-45.98
23,97,-45.09
24,97,-47.21
25,97,-48.54
0,98,-22.05
1,98,-21.96
2,98,-23.83
3,98,-22.05
4,98,-23.25
5,98,-24.98
6,98,-26.14
7,98,-27.88
8,98,-29.79
9,98,-31.51
10,98,-33.94
11,98,-36.29
12,98,-38.19
13,98,-39.95
14,98,-41.11
15,98,-41.56
16,98,-42.57
17,98,-43.32
18,98,-43.01
19,98,-42.9
20,98,-43.35
21,98,-43.81
22,98,-44.6
23,98,-44.48
24,98,-44.92
25,98,-44.23
0,99,-15.61
1,99,-15.49
2,99,-14.25
3,99,-16.06
4,99,-19.14
5,99,-20.54
6,99,-21.86
7,99,-23.91
8,99,-25.98
9,99,-27.76
10,99,-30.66
11,99,-32.39
12,99,-34.67
13,99,-36.09
14,99,-37.36
15,99,-38.42
16,99,-39.01
17,99,-40.56
18,99,-41.06
19,99,-41.65
20,99,-41.71
21,99,-42.22
22,99,-42.97
23,99,-43.5
24,99,-42.56
25,99,-42.44
0,100,-10.32
1,100,-10.16
2,100,-11.58
3,100,-12.98
4,100,-14.39
5,100,-16.12
6,100,-17.95
7,100,-19.85
8,100,-22.35
9,100,-25.07
10,100,-27.88
11,100,-29.96
12,100,-31.88
13,100,-33.85
14,100,-35.71
15,100,-36.65
16,100,-37.52
17,100,-39.13
18,100,-39.34
19,100,-39.76
20,100,-40.46
21,100,-40.46
22,100,-41.04
23,100,-40.87
24,100,-40.81
25,100,-40.77
0,101,-5.17
1,101,-7.13
2,101,-7.78
3,101,-9
4,101,-10.17
5,101,-11.62
6,101,-13.82
7,101,-16.99
8,101,-20.13
9,101,-23.02
10,101,-25.43
11,101,-27.74
12,101,-29.55
13,101,-31.76
14,101,-32.49
15,101,-34.03
16,101,-34.78
17,101,-35.15
18,101,-36.56
19,101,-36.9
20,101,-37.64
21,101,-38.4
22,101,-39.65
23,101,-39.46
24,101,-39.17
