index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
0,ทข.คลองสาน,TH/CT/กรุงเทพมหานคร/ทข.คลองสาน,TH/CT/กรุงเทพมหานคร,69139,37170,31969,39924
1,ทข.คลองสามวา,TH/CT/กรุงเทพมหานคร/ทข.คลองสามวา,TH/CT/กรุงเทพมหานคร,204900,108231,96669,86477
2,ทข.คลองเตย,TH/CT/กรุงเทพมหานคร/ทข.คลองเตย,TH/CT/กรุงเทพมหานคร,93193,49037,44156,77502
3,ทข.คันนายาว,TH/CT/กรุงเทพมหานคร/ทข.คันนายาว,TH/CT/กรุงเทพมหานคร,96330,51390,44940,45864
4,ทข.จตุจักร,TH/CT/กรุงเทพมหานคร/ทข.จตุจักร,TH/CT/กรุงเทพมหานคร,155297,83503,71794,126570
5,ทข.จอมทอง,TH/CT/กรุงเทพมหานคร/ทข.จอมทอง,TH/CT/กรุงเทพมหานคร,148290,78025,70265,73778
6,ทข.ดอนเมือง,TH/CT/กรุงเทพมหานคร/ทข.ดอนเมือง,TH/CT/กรุงเทพมหานคร,170791,84968,85823,77410
7,ทข.ดินแดง,TH/CT/กรุงเทพมหานคร/ทข.ดินแดง,TH/CT/กรุงเทพมหานคร,115508,62320,53188,63821
8,ทข.ดุสิต,TH/CT/กรุงเทพมหานคร/ทข.ดุสิต,TH/CT/กรุงเทพมหานคร,83897,38859,45038,31653
9,ทข.ตลิ่งชัน,TH/CT/กรุงเทพมหานคร/ทข.ตลิ่งชัน,TH/CT/กรุงเทพมหานคร,103617,55226,48391,42898
10,ทข.ทวีวัฒนา,TH/CT/กรุงเทพมหานคร/ทข.ทวีวัฒนา,TH/CT/กรุงเทพมหานคร,78749,42256,36493,34420
11,ทข.ทุ่งครุ,TH/CT/กรุงเทพมหานคร/ทข.ทุ่งครุ,TH/CT/กรุงเทพมหานคร,123700,65673,58027,54595
12,ทข.ธนบุรี,TH/CT/กรุงเทพมหานคร/ทข.ธนบุรี,TH/CT/กรุงเทพมหานคร,103377,54983,48394,57707
13,ทข.บางกอกน้อย,TH/CT/กรุงเทพมหานคร/ทข.บางกอกน้อย,TH/CT/กรุงเทพมหานคร,103791,54691,49100,50652
14,ทข.บางกอกใหญ่,TH/CT/กรุงเทพมหานคร/ทข.บางกอกใหญ่,TH/CT/กรุงเทพมหานคร,63861,33874,29987,32258
15,ทข.บางกะปิ,TH/CT/กรุงเทพมหานคร/ทข.บางกะปิ,TH/CT/กรุงเทพมหานคร,144732,78900,65832,107103
16,ทข.บางขุนเทียน,TH/CT/กรุงเทพมหานคร/ทข.บางขุนเทียน,TH/CT/กรุงเทพมหานคร,186144,98400,87744,91013
17,ทข.บางคอแหลม,TH/CT/กรุงเทพมหานคร/ทข.บางคอแหลม,TH/CT/กรุงเทพมหานคร,82733,43649,39084,39812
18,ทข.บางซื่อ,TH/CT/กรุงเทพมหานคร/ทข.บางซื่อ,TH/CT/กรุงเทพมหานคร,122410,65471,56939,76116
19,ทข.บางนา,TH/CT/กรุงเทพมหานคร/ทข.บางนา,TH/CT/กรุงเทพมหานคร,88535,47555,40980,72092
20,ทข.บางบอน,TH/CT/กรุงเทพมหานคร/ทข.บางบอน,TH/CT/กรุงเทพมหานคร,104366,54469,49897,50825
21,ทข.บางพลัด,TH/CT/กรุงเทพมหานคร/ทข.บางพลัด,TH/CT/กรุงเทพมหานคร,89417,48708,40709,55838
22,ทข.บางรัก,TH/CT/กรุงเทพมหานคร/ทข.บางรัก,TH/CT/กรุงเทพมหานคร,45757,24230,21527,32371
