COUNTRY,GDP(BILLIONS),CODE,Name,WHORegion,Cases-cumulativetotal,Cases-cumulativetotalper100000population,Cases-newlyreportedinlast7days,Cases-newlyreportedinlast7daysper100000population,Cases-newlyreportedinlast24hours,Deaths-cumulativetotal,Deaths-cumulativetotalper100000population,Deaths-newlyreportedinlast7days,Deaths-newlyreportedinlast7daysper100000population,Deaths-newlyreportedinlast24hours
Afghanistan,21.71,AFG,Afghanistan,Eastern Mediterranean,155429,399.27,238,0.61,47,7221,18.55,15,0.04,1
Albania,13.4,ALB,Albania,Europe,173723,6036.66,3592,124.82,533,2746,95.42,48,1.67,12
Algeria,227.8,DZA,Algeria,Africa,204276,465.84,917,2.09,105,5843,13.32,31,0.07,5
American Samoa,0.75,ASM,American Samoa,Western Pacific,3,5.44,2,3.62,0,0,0,0,0,0
Andorra,4.8,AND,Andorra,Europe,15288,19786.45,66,85.42,4,130,168.25,0,0,0
Angola,131.4,AGO,Angola,Africa,60803,185,4220,12.84,355,1603,4.88,66,0.2,5
Anguilla,0.18,AIA,Anguilla,Americas,499,3326.22,90,599.92,46,1,6.67,0,0,0
Antigua and Barbuda,1.24,ATG,Antigua and Barbuda,Americas,3581,3656.73,350,357.4,63,87,88.84,8,8.17,2
Argentina,536.2,ARG,Argentina,Americas,5263219,11645.38,7958,17.61,1284,115379,255.29,249,0.55,56
Armenia,10.88,ARM,Armenia,Europe,269874,9107.41,7243,244.43,1202,5499,185.57,160,5.4,33
Aruba,2.52,ABW,Aruba,Americas,15578,14590.79,106,99.28,18,168,157.35,2,1.87,0
Australia,1483,AUS,Australia,Western Pacific,120043,470.76,14950,58.63,2273,1389,5.45,100,0.39,16
Austria,436.1,AUT,Austria,Europe,752164,8450.27,12767,143.43,2040,10827,121.64,59,0.66,8
Azerbaijan,77.91,AZE,Azerbaijan,Europe,489226,4825.11,5324,52.51,1013,6625,65.34,100,0.99,14
"Bahamas, The",8.65,BHM,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
